epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3022.69,0.68459,0.35131,0.89265,0.99183,0.98508,0.99328,0.84728,0.62744,0.30121,0.87952,0.0087625,0.0087625,0.0087625
127,3046.03,0.679,0.34767,0.88616,0.99097,0.98539,0.99398,0.84131,0.62147,0.30441,0.88511,0.0087526,0.0087526,0.0087526
128,3070.5,0.68071,0.35575,0.88482,0.98429,0.98539,0.99323,0.855,0.61084,0.30117,0.87814,0.0087427,0.0087427,0.0087427
129,3093.61,0.66963,0.35008,0.87965,0.98318,0.9789,0.99342,0.84935,0.62405,0.30788,0.87831,0.0087328,0.0087328,0.0087328
130,3117.35,0.6763,0.34802,0.87999,0.98937,0.98052,0.99366,0.85369,0.60821,0.29969,0.87952,0.0087229,0.0087229,0.0087229
131,3140.74,0.67197,0.34998,0.88125,0.98537,0.98411,0.99382,0.84197,0.6127,0.30075,0.88727,0.008713,0.008713,0.008713
132,3165.34,0.67722,0.35263,0.88454,0.98976,0.98214,0.99359,0.84772,0.61548,0.30207,0.88141,0.0087031,0.0087031,0.0087031
133,3188.03,0.67259,0.34051,0.88565,0.98912,0.9789,0.99339,0.86031,0.59826,0.29725,0.8726,0.0086932,0.0086932,0.0086932
134,3212.03,0.67363,0.34224,0.88537,0.98266,0.98214,0.99412,0.85199,0.6185,0.29528,0.88271,0.0086833,0.0086833,0.0086833
135,3235.09,0.68424,0.34838,0.88325,0.98064,0.98662,0.99408,0.85347,0.63062,0.30068,0.88125,0.0086734,0.0086734,0.0086734
136,3259.37,0.66923,0.34562,0.87898,0.98628,0.98377,0.99409,0.83852,0.63716,0.3037,0.8874,0.0086635,0.0086635,0.0086635
137,3282.38,0.67332,0.34444,0.88273,0.98855,0.98112,0.99385,0.84888,0.62046,0.30242,0.87859,0.0086536,0.0086536,0.0086536
138,3305.53,0.66618,0.34704,0.87999,0.99022,0.98596,0.99291,0.85741,0.60539,0.29577,0.87387,0.0086437,0.0086437,0.0086437
139,3329.33,0.66789,0.33882,0.88446,0.98946,0.9789,0.99302,0.85933,0.60828,0.29787,0.87605,0.0086338,0.0086338,0.0086338
140,3353.06,0.66978,0.34354,0.88557,0.99015,0.97909,0.99411,0.86345,0.58501,0.29059,0.87396,0.0086239,0.0086239,0.0086239
141,3377.99,0.67429,0.3449,0.88152,0.98857,0.98276,0.9941,0.85217,0.61238,0.29406,0.88225,0.008614,0.008614,0.008614
142,3400.98,0.67838,0.34434,0.88576,0.9838,0.986,0.99361,0.85441,0.60612,0.29084,0.88523,0.0086041,0.0086041,0.0086041
143,3425.11,0.66565,0.34681,0.88214,0.98546,0.99035,0.9939,0.86214,0.59513,0.29075,0.87171,0.0085942,0.0085942,0.0085942
144,3448.7,0.66228,0.3355,0.87782,0.98855,0.98142,0.99372,0.86065,0.62128,0.29496,0.88214,0.0085843,0.0085843,0.0085843
145,3472.44,0.67186,0.3414,0.88155,0.98828,0.97727,0.99296,0.85505,0.60998,0.2919,0.88574,0.0085744,0.0085744,0.0085744
146,3496.66,0.65818,0.33506,0.88202,0.99179,0.98066,0.99366,0.85715,0.60814,0.29526,0.87788,0.0085645,0.0085645,0.0085645
147,3520.41,0.66173,0.34164,0.88386,0.99022,0.98651,0.99434,0.85793,0.59986,0.29346,0.87493,0.0085546,0.0085546,0.0085546
148,3544.08,0.66647,0.3394,0.88338,0.98814,0.98864,0.99215,0.8603,0.60156,0.2897,0.87349,0.0085447,0.0085447,0.0085447
149,3568.11,0.67145,0.34252,0.88185,0.98268,0.98701,0.99349,0.85234,0.60833,0.29682,0.88516,0.0085348,0.0085348,0.0085348
150,3592.26,0.66071,0.34208,0.87728,0.98233,0.98864,0.99343,0.85044,0.61925,0.29817,0.88715,0.0085249,0.0085249,0.0085249
151,3617.28,0.65112,0.33692,0.87796,0.99178,0.97914,0.99354,0.86119,0.59347,0.28541,0.87638,0.008515,0.008515,0.008515
152,3640.53,0.67392,0.34204,0.88705,0.98939,0.98377,0.99385,0.86302,0.59876,0.28709,0.87967,0.0085051,0.0085051,0.0085051
153,3664.05,0.66803,0.33785,0.89182,0.9886,0.98562,0.99354,0.86578,0.59827,0.29179,0.87836,0.0084952,0.0084952,0.0084952
154,3689.21,0.64666,0.33918,0.87324,0.99112,0.98214,0.99274,0.85442,0.60557,0.29465,0.88646,0.0084853,0.0084853,0.0084853
155,3712.37,0.66361,0.33886,0.88085,0.98547,0.99092,0.99222,0.85405,0.61175,0.29419,0.88504,0.0084754,0.0084754,0.0084754
156,3736.83,0.63777,0.33397,0.8716,0.9842,0.98214,0.99254,0.85019,0.61548,0.29614,0.87871,0.0084655,0.0084655,0.0084655
157,3760.17,0.66542,0.34084,0.88,0.98853,0.97969,0.99341,0.85432,0.61168,0.29022,0.88043,0.0084556,0.0084556,0.0084556
158,3783.88,0.63935,0.32793,0.87014,0.99092,0.9789,0.99382,0.86261,0.59909,0.28521,0.87563,0.0084457,0.0084457,0.0084457
159,3808.42,0.64813,0.3327,0.87576,0.98447,0.98539,0.99315,0.85551,0.60934,0.29184,0.87684,0.0084358,0.0084358,0.0084358
160,3832.25,0.64815,0.33498,0.87324,0.99181,0.98338,0.99385,0.8566,0.59163,0.28586,0.87174,0.0084259,0.0084259,0.0084259
161,3857.05,0.65032,0.33427,0.87419,0.99018,0.98255,0.99329,0.86209,0.59716,0.28599,0.87714,0.008416,0.008416,0.008416
162,3880.32,0.64471,0.32958,0.87245,0.98533,0.98701,0.99236,0.8592,0.59946,0.28952,0.87652,0.0084061,0.0084061,0.0084061
163,3904.45,0.65328,0.33181,0.87581,0.9854,0.98631,0.99363,0.85653,0.60398,0.28904,0.87752,0.0083962,0.0083962,0.0083962
164,3927.85,0.6432,0.33027,0.87194,0.98862,0.98736,0.99412,0.85851,0.60579,0.28692,0.87778,0.0083863,0.0083863,0.0083863
165,3951.64,0.65561,0.33458,0.87863,0.97984,0.98539,0.99153,0.84778,0.62169,0.29412,0.89147,0.0083764,0.0083764,0.0083764
166,3975.24,0.66709,0.33449,0.88039,0.99019,0.98322,0.99214,0.84565,0.61379,0.2902,0.88519,0.0083665,0.0083665,0.0083665
167,3999.7,0.65317,0.33244,0.87421,0.98539,0.98522,0.99232,0.85835,0.60442,0.28758,0.87679,0.0083566,0.0083566,0.0083566
168,4023.07,0.64785,0.32607,0.87739,0.99017,0.98152,0.99354,0.86356,0.59718,0.28369,0.88341,0.0083467,0.0083467,0.0083467
169,4047.48,0.658,0.32573,0.87978,0.98859,0.98497,0.9934,0.85526,0.60619,0.28574,0.88757,0.0083368,0.0083368,0.0083368
170,4070.34,0.6456,0.32858,0.87551,0.98707,0.99113,0.9929,0.86088,0.6031,0.28374,0.87922,0.0083269,0.0083269,0.0083269
171,4094.27,0.65356,0.33162,0.8787,0.99024,0.98781,0.99346,0.8628,0.58792,0.28045,0.87414,0.008317,0.008317,0.008317
